Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
85914,9983.39,9304.064,9472.815,10021.666,8968.495843617402,9551.564
85915,10091.39,9412.637,9569.357,10082.648,9134.179298027726,9617.634
85916,10110.35,9423.613,9570.206,10040.102,9186.299464652258,9644.347
85917,10147.24,9436.956,9582.668,10078.114,9342.62178532004,9670.319
85918,10175.82,9471.955,9617.362,10080.202,9423.389625291937,9700.052
85919,10173.61,9417.044,9604.363,10089.574,9437.009055448603,9694.48
85920,10206.990000000002,9381.658,9598.287,10100.044,9440.04817228441,9665.587
85921,10277.8,9377.592,9592.694,10100.122,9426.89908243863,9678.024
85922,10316.92,9375.087,9569.534,10090.427,9369.402120769895,9681.878
85923,10343.71,9369.002,9536.996,10072.397,9316.455767296253,9643.679
85924,10320.83,9302.154,9481.326,10035.054,9309.585186267415,9599.364
85925,10394.41,9275.678,9457.324,10064.348,9281.483069222477,9557.355
85926,10425.31,9293.753,9436.185,9984.09,9281.483069222477,9526.572
85927,10389.64,9330.513,9420.76,10010.457,9295.217614155586,9530.619
85928,10280.01,9415.397,9418.199,9904.316,9308.96786484711,9536.688
85929,10109.29,9436.531,9364.247,9834.932,9316.657762374609,9525.938
85930,9720.02,9492.756,9322.439,9845.807,9273.326101093804,9569.589
85931,9469.66,9500.803,9243.558,9905.26,9292.209315780365,9579.617
85932,9099.85,9491.414,9135.849,9837.763,9279.736419828248,9607.89
85933,8935.96,9349.597,9012.29,9783.325,9279.736419828248,9513.938
85934,8966.7,9225.559,8955.538,9542.681,9266.001874895135,9409.508
85935,9020.98,9173.053,8945.637,9393.499,9250.764032948917,9260.349
85936,8850.09,9046.849,8852.6875,9107.8955,9258.74830534425,9080.344
85937,8575.67,8816.017,8654.609,8832.624,9030.629616738925,8826.012
85938,8547.27,8508.831,8378.52,8631.017,8744.969597131934,8509.021
85939,8319.89,8417.25,8256.229,8418.724,8705.503070378481,8346.948
85940,8234.43,8209.861,8046.5337,8420.778,8637.849996036279,8075.62
85941,8131.17,8189.191,7931.138,8242.88,8557.543405700733,7991.0674
85942,7867.710000000001,8052.7026,7773.839,8169.4233,8510.889469096363,7807.899
85943,7684.82,7877.9746,7606.1064,7986.728,8401.325525555165,7608.2617
85944,7537.42,7679.842,7434.7427,7808.1045,8134.064326682152,7383.1333
85945,7316.1,7553.3164,7279.4775,7611.258,7937.812625740519,7120.8857
85946,7013.65,7387.088,7131.1646,7328.6543,7889.569967793102,6894.315
85947,6763.3,7140.626,6909.5444,7105.642,7881.990085272249,6487.935
85948,6589.67,6871.566,6707.978,6824.4917,7881.990085272249,6234.231
85949,6487.090000000001,6764.585,6602.323,6681.4863,7879.179163701813,6211.7764
85950,6487.01,6675.2217,6551.236,6632.327,7879.179163701813,6141.7803
85951,6541.71,6663.9824,6558.8916,6658.824,7879.179163701813,6368.2993
85952,6794.49,6741.408,6679.1763,6823.651,7879.179163701813,6599.663
85953,7014.06,7132.938,7050.0225,7046.523,7884.710218169327,7110.204
85954,7609.12,7341.53,7392.3145,7557.3325,7893.313520230521,7314.9014
85955,8141.29,7824.843,8069.8965,8060.899,7939.400282633616,7785.8784
85956,8557.78,8513.663,8800.45,8467.328,7939.400282633616,8370.173
85957,8999.34,9086.366,9178.244,8944.689,8183.734775839869,8967.511
85958,9282.04,9550.8955,9414.728,9186.004,8460.269893597562,9393.484
85959,9467.68,9653.902,9508.869,9379.393,8651.416268027024,9609.378
